idx	X	Y	component
0	1000	35417.3982411072	0
1	1036.312621410685	35459.32374944121	0
2	1036.31251943246	35459.32371870489	0
3	1036.272655399736	35461.32600569924	0
4	1036.315217820307	35459.32432793073	0
5	1036.273337679781	35461.32653140958	0
6	1036.273343697643	35461.32653958385	0
7	1157.564582680223	35528.71187584924	0
8	1157.562685502215	35528.71264246807	0
9	1157.874314523769	35529.64909993194	0
10	1157.564678518802	35528.71190228561	0
11	1157.874217478286	35529.64911844209	0
12	1157.873967894011	35529.64914667013	0
13	1973.939582519561	35942.2820705275	0
14	1973.939553438102	35942.28212456256	0
15	1974.7204821012	35942.86980656307	0
16	1973.93779775553	35942.28287294628	0
17	1974.720135559235	35942.86983571566	0
18	1974.720563974452	35942.86985931533	0
19	2044.166044615982	35960.53459388708	0
20	2044.158945041319	35960.53844043205	0
21	2044.710546944145	35961.39518940845	0
22	2044.166218147677	35960.53459245172	0
23	2044.711653581384	35961.39403778718	0
24	2044.711761926466	35961.39403390871	0
25	2587.703871330847	35942.05862992749	0
26	2587.703947290122	35942.05863878102	0
27	2588.537171473561	35942.66913199968	0
28	2587.706932166804	35942.06152545044	0
29	2588.538403996585	35942.66934860113	0
30	2588.538111240508	35942.66934707824	0
31	2595.616046725005	35944.3403644128	0
32	2595.616971733625	35944.339564259	0
33	2596.615964545443	35944.23186782855	0
34	2595.615962305179	35944.34033741026	0
35	2596.616675937756	35944.23214413569	0
36	2596.616547444179	35944.23209732117	0
37	4596.457915323914	36810.53549639629	0
38	4596.457690898211	36810.53560887516	0
39	4596.594561765865	36810.55457981907	0
40	4596.596488815452	36810.55489794693	0
41	5065.099987303423	37172.87479086927	0
42	5065.100153995825	37172.87485141749	0
43	5065.232164924944	37173.77980131545	0
44	5065.099899839306	37172.87460951437	0
45	5065.302351900751	37173.79471284268	0
46	5065.302351899772	37173.79471284247	0
47	5660.46171612641	37497.56758076912	0
48	5660.461930671925	37497.56796595886	0
49	5660.918556712222	37498.36211893241	0
50	5660.46183822549	37497.56772762526	0
51	5660.94764767374	37498.36635769284	0
52	5660.947516955755	37498.36655566352	0
53	5783.651221284372	37536.86455913015	0
54	5783.650046218923	37536.86373283419	0
55	5784.205678742148	37537.68481947737	0
56	5783.650721153626	37536.86457458439	0
57	5784.211667557831	37537.6831834464	0
58	5784.211656172769	37537.68319093642	0
59	5829.896353151322	37555.14098134943	0
60	5829.896648523882	37555.14099567857	0
61	5830.85993539819	37555.31271127132	0
62	5829.899886341938	37555.14365560063	0
63	5830.851850271514	37555.31330768426	0
64	5830.859854738941	37555.31277590495	0
65	5899.463925749702	37566.63251449973	0
66	5899.453281111058	37566.63906644669	0
67	5900.501390508232	37566.9046213515	0
68	5899.463841445242	37566.63247432659	0
69	5900.49500974878	37566.90714726334	0
70	5900.495356769568	37566.9071810555	0
71	5914.866793476691	37572.54776900324	0
72	5914.869007053878	37572.53250188873	0
73	5915.745368085505	37572.59540414733	0
74	5914.866981510502	37572.54785778491	0
75	5915.775308143066	37572.68827933761	0
76	5915.775436873362	37572.68837587465	0
77	6025.682801881931	37644.11353678564	0
78	6025.679209193522	37644.11620893223	0
79	6026.52758579309	37644.63862464666	0
80	6025.682904954261	37644.11358029574	0
81	6026.533498325391	37644.64072947854	0
82	6026.533641418757	37644.64074624243	0
83	6104.785079865813	37686.06324470663	0
84	6104.739125219068	37686.05720136914	0
85	6105.425079664683	37686.83779890056	0
86	6104.785181793337	37686.0633830568	0
87	6105.429415445091	37686.83855314387	0
88	6105.429651428567	37686.83870948735	0
89	6107.07620122295	37688.12752133386	0
90	6107.076218004668	37688.12777405916	0
91	6107.520683873867	37689.03964528168	0
92	6107.076115458811	37688.12759840698	0
93	6107.54921486067	37689.03538954335	0
94	6107.521114479272	37689.03989987835	0
95	6119.517807972894	37697.09140267009	0
96	6119.515517162667	37697.09146515107	0
97	6120.396036489943	37697.66554049832	0
98	6119.517737089725	37697.09139351392	0
99	6120.395651677767	37697.66617844719	0
100	6120.395651676874	37697.66617844674	0
101	6180.548008006372	37740.10997232929	0
102	6180.548008006623	37740.10997233026	0
103	6181.349088198789	37740.54326693735	0
104	6180.548052719576	37740.10825490699	0
105	6181.386315998245	37740.4926187198	0
106	6181.387199428193	37740.49279863325	0
107	6183.442335562075	37741.09037905706	0
108	6183.416832638244	37741.15535897233	0
109	6184.469284721763	37741.24292012514	0
110	6183.442537133184	37741.09046875378	0
111	6184.468875798791	37741.24232748768	0
112	6184.46910571763	37741.24237020282	0
113	6863.226200660873	37821.70272428505	0
114	6863.210491629587	37821.71169388528	0
115	6864.257485804894	37821.83454168051	0
116	6863.226188599729	37821.70276337919	0
117	6864.264117749983	37821.8276342968	0
118	6864.263835780355	37821.82751512925	0
119	6909.728112361743	37818.16261902937	0
120	6909.725831880009	37818.1626845016	0
121	6910.589623349864	37817.61302824622	0
122	6909.728057089727	37818.1626121279	0
123	6910.59405100394	37817.61281453627	0
124	6910.594165917133	37817.61276981883	0
125	6915.818741116156	37816.77345397732	0
126	6915.817965649356	37816.77351623009	0
127	6916.901033250953	37816.74659830288	0
128	6915.821838449487	37816.77423052362	0
129	6916.898850696423	37816.7447169871	0
130	6916.899101465355	37816.74468013276	0
131	6921.806316503287	37814.97635537216	0
132	6921.807365156783	37814.97641099841	0
133	6922.769784175922	37814.61971421151	0
134	6921.806828691766	37814.97621937438	0
135	6922.771543918137	37814.61931669539	0
136	6922.772183726844	37814.61910222846	0
137	6924.739642922985	37813.90130841835	0
138	6924.739642922472	37813.9013084192	0
139	6925.65130542115	37813.42916905772	0
140	6924.739903361511	37813.90093419421	0
141	6925.683015994942	37813.44263684023	0
142	6925.650783379308	37813.42913494804	0
143	6927.679982174992	37812.87341405392	0
144	6927.681210799787	37812.87274686703	0
145	6928.705682174175	37812.77558467323	0
146	6927.680537011547	37812.87324529692	0
147	6928.716006901501	37812.77549006199	0
148	6928.715931594568	37812.77550050415	0
149	6940.228078585882	37810.66052551346	0
150	6940.228152767828	37810.66051055642	0
151	6941.089182244734	37810.0963452671	0
152	6940.227854867106	37810.66045330933	0
153	6941.094006500625	37810.1008971414	0
154	6941.089672639577	37810.09623805992	0
155	6957.982463461842	37804.78523513439	0
156	6957.848265064567	37804.68406363131	0
157	6958.997334482108	37804.5683325033	0
158	6957.982231068097	37804.78518466715	0
159	6958.999292328732	37804.57881109128	0
160	6958.995809705029	37804.56886092987	0
161	6982.251110310124	37799.46822683232	0
162	6982.250076155036	37799.46740864708	0
163	6983.191613924504	37799.26977224607	0
164	6982.251095729309	37799.46823075617	0
165	6983.203460685621	37799.28500187859	0
166	6983.192299556136	37799.27004008969	0
167	7001.047644440139	37799.86126018593	0
168	7001.029765836251	37799.83720734528	0
169	7002.202111038161	37800.00197392962	0
170	7001.046890237743	37799.8611737758	0
171	7002.199439795852	37800.01279069412	0
172	7002.199825087406	37800.01286246239	0
173	7098.959629888788	37821.20544897705	0
174	7098.959850058247	37821.20546917112	0
175	7099.952639147559	37821.33546727076	0
176	7098.962064693686	37821.20487046875	0
177	7099.954177750798	37821.32913994662	0
178	7099.954173107304	37821.32913936902	0
